Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2021-06-09;172;31;1826;219;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;104.0;37.0;0.0;15;2;0;9
974;2021-06-17;66;10;921;98;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;37.0;19.0;0.0;;;;
974;2021-06-19;146;31;1932;231;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;79.0;36.0;0.0;8;1;0;16
974;2021-08-25;102;23;1345;181;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;61.0;17.0;1.0;;;;
974;2021-10-04;40;8;1483;201;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;20.0;11.0;1.0;;;;
974;2021-10-16;36;5;1495;204;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;18.0;12.0;1.0;;;;
974;2020-12-08;26;4;334;27;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-02;21;3;354;24;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-04-28;60;14;696;67;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;36.0;10.0;0.0;;;;
974;2021-05-17;91;21;824;109;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;53.0;17.0;0.0;;;;
974;2021-05-17;74;10;784;77;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;51.0;13.0;0.0;;;;
974;2021-01-11;50;3;725;53;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;1;0;0
974;2021-01-16;53;6;735;54;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;4;2;0;4
974;2021-01-19;50;7;745;54;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;6;1;0;2
974;2021-01-21;26;6;371;26;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-24;18;0;384;28;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-25;18;6;380;26;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-01-31;5;0;404;28;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
