Période (Trimestre);Date;Catégorie;Tranche d'âge;Nb moyen demandeur emploi;Nb moyen demandeur emploi Homme;Nb moyen demandeur emploi Femme;Différence Nb demandeur emploi trimestre précédent;Nb moyen entrées;Nb moyen sorties;Nb moyen demandeur emploi longue durée;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
2019-T4;2019-10;ABC;Plus de 50 ans;46410;;;-220.0;;;;974;Réunion;04;La Réunion;REU
2001-T1;2001-01;ABC;Moins de 25 ans;24900;;;240.0;;;;974;Réunion;04;La Réunion;REU
2005-T2;2005-04;ABC;Moins de 25 ans;20120;;;-510.0;;;;974;Réunion;04;La Réunion;REU
2008-T4;2008-10;ABC;Moins de 25 ans;17630;;;380.0;;;;974;Réunion;04;La Réunion;REU
1998-T4;1998-10;ABC;Entre 25 et 49 ans;81500;;;750.0;;;;974;Réunion;04;La Réunion;REU
2000-T1;2000-01;ABC;Entre 25 et 49 ans;84930;;;1100.0;;;;974;Réunion;04;La Réunion;REU
2003-T1;2003-01;ABC;Entre 25 et 49 ans;79410;;;-1960.0;;;;974;Réunion;04;La Réunion;REU
2011-T3;2011-07;ABC;Entre 25 et 49 ans;91920;;;800.0;;;;974;Réunion;04;La Réunion;REU
2013-T2;2013-04;ABC;Entre 25 et 49 ans;100570;;;880.0;;;;974;Réunion;04;La Réunion;REU
2014-T3;2014-07;ABC;Entre 25 et 49 ans;99890;;;-470.0;;;;974;Réunion;04;La Réunion;REU
2020-T4;2020-10;ABC;Entre 25 et 49 ans;95050;;;-1210.0;;;;974;Réunion;04;La Réunion;REU
1996-T3;1996-07;A;Indifférent;98330;;;2030.0;;;;974;Réunion;04;La Réunion;REU
1997-T1;1997-01;A;Indifférent;102460;;;1240.0;;;;974;Réunion;04;La Réunion;REU
2016-T2;2016-04;A;Indifférent;134840;;;-2190.0;;;;974;Réunion;04;La Réunion;REU
1998-T2;1998-04;ABC;Indifférent;111930;56420;55510;-1640.0;7800.0;8330.0;52990.0;974;Réunion;04;La Réunion;REU
1998-T4;1998-10;ABC;Indifférent;113120;57360;55760;1130.0;8120.0;8180.0;54870.0;974;Réunion;04;La Réunion;REU
2013-T3;2013-07;ABC;Indifférent;153530;75630;77900;550.0;10910.0;10220.0;83710.0;974;Réunion;04;La Réunion;REU
2003-T1;2003-01;B;Indifférent;4490;;;90.0;;;;974;Réunion;04;La Réunion;REU
2003-T4;2003-10;B;Indifférent;4500;;;-50.0;;;;974;Réunion;04;La Réunion;REU
2007-T4;2007-10;B;Indifférent;5650;;;-40.0;;;;974;Réunion;04;La Réunion;REU
2011-T1;2011-01;B;Indifférent;7130;;;370.0;;;;974;Réunion;04;La Réunion;REU
2013-T1;2013-01;B;Indifférent;8780;;;120.0;;;;974;Réunion;04;La Réunion;REU
2016-T1;2016-01;B;Indifférent;10340;;;130.0;;;;974;Réunion;04;La Réunion;REU
2017-T1;2017-01;B;Indifférent;10990;;;-110.0;;;;974;Réunion;04;La Réunion;REU
2019-T2;2019-04;B;Indifférent;12470;;;20.0;;;;974;Réunion;04;La Réunion;REU
2020-T4;2020-10;B;Indifférent;12420;;;370.0;;;;974;Réunion;04;La Réunion;REU
2003-T1;2003-01;C;Indifférent;6010;;;-360.0;;;;974;Réunion;04;La Réunion;REU
2017-T3;2017-07;C;Indifférent;14450;;;450.0;;;;974;Réunion;04;La Réunion;REU
1998-T1;1998-01;D;Indifférent;2560;;;80.0;;;;974;Réunion;04;La Réunion;REU
2016-T2;2016-04;D;Indifférent;5290;;;1090.0;;;;974;Réunion;04;La Réunion;REU
1998-T4;1998-10;E;Indifférent;4190;;;1540.0;;;;974;Réunion;04;La Réunion;REU
2017-T4;2017-10;E;Indifférent;13580;;;-960.0;;;;974;Réunion;04;La Réunion;REU
2004-T4;2004-10;ABC;Indifférent;102330;50250;52080;-320.0;9850.0;9470.0;42300.0;974;Réunion;04;La Réunion;REU
2017-T2;2017-04;ABC;Indifférent;160600;77850;82750;-760.0;11500.0;11860.0;87640.0;974;Réunion;04;La Réunion;REU
2005-T3;2005-07;ABC;Plus de 50 ans;9050;;;30.0;;;;974;Réunion;04;La Réunion;REU
2008-T2;2008-04;ABC;Plus de 50 ans;9540;;;360.0;;;;974;Réunion;04;La Réunion;REU
2015-T1;2015-01;ABC;Plus de 50 ans;33260;;;660.0;;;;974;Réunion;04;La Réunion;REU
2016-T2;2016-04;ABC;Plus de 50 ans;38100;;;500.0;;;;974;Réunion;04;La Réunion;REU
2007-T1;2007-01;ABC;Indifférent;89550;42290;47260;-1880.0;9350.0;9520.0;42060.0;974;Réunion;04;La Réunion;REU
2015-T4;2015-10;ABC;Indifférent;159530;77350;82170;-470.0;11820.0;11700.0;88720.0;974;Réunion;04;La Réunion;REU
2020-T1;2020-01;ABC;Indifférent;161200;77600;83590;-1820.0;11170.0;11360.0;95100.0;974;Réunion;04;La Réunion;REU
2010-T4;2010-10;B;Indifférent;6760;;;180.0;;;;974;Réunion;04;La Réunion;REU
2012-T2;2012-04;B;Indifférent;8020;;;280.0;;;;974;Réunion;04;La Réunion;REU
2014-T4;2014-10;B;Indifférent;9420;;;130.0;;;;974;Réunion;04;La Réunion;REU
2019-T4;2019-10;B;Indifférent;12320;;;-90.0;;;;974;Réunion;04;La Réunion;REU
2009-T2;2009-04;C;Indifférent;5660;;;190.0;;;;974;Réunion;04;La Réunion;REU
2019-T1;2019-01;C;Indifférent;17280;;;1110.0;;;;974;Réunion;04;La Réunion;REU
2009-T1;2009-01;D;Indifférent;2860;;;-100.0;;;;974;Réunion;04;La Réunion;REU
2011-T1;2011-01;D;Indifférent;3970;;;-310.0;;;;974;Réunion;04;La Réunion;REU
1997-T3;1997-07;ABC;Entre 25 et 49 ans;77950;;;1870.0;;;;974;Réunion;04;La Réunion;REU
2006-T1;2006-01;ABC;Moins de 25 ans;19020;;;-380.0;;;;974;Réunion;04;La Réunion;REU
1998-T1;1998-01;A;Indifférent;108450;;;-610.0;;;;974;Réunion;04;La Réunion;REU
2001-T4;2001-10;A;Indifférent;107860;;;-1480.0;;;;974;Réunion;04;La Réunion;REU
1997-T3;1997-07;E;Indifférent;1270;;;-370.0;;;;974;Réunion;04;La Réunion;REU
1998-T1;1998-01;E;Indifférent;2170;;;290.0;;;;974;Réunion;04;La Réunion;REU
1999-T2;1999-04;E;Indifférent;4740;;;1200.0;;;;974;Réunion;04;La Réunion;REU
2004-T2;2004-04;E;Indifférent;7380;;;920.0;;;;974;Réunion;04;La Réunion;REU
2010-T3;2010-07;E;Indifférent;9140;;;380.0;;;;974;Réunion;04;La Réunion;REU
2001-T4;2001-10;ABC;Indifférent;118070;58180;59880;-1390.0;9250.0;9120.0;54650.0;974;Réunion;04;La Réunion;REU
2014-T2;2014-04;ABC;Indifférent;155230;76000;79230;2450.0;10710.0;9700.0;87850.0;974;Réunion;04;La Réunion;REU
2016-T4;2016-10;ABC;Indifférent;161410;78150;83260;1640.0;11130.0;11050.0;87330.0;974;Réunion;04;La Réunion;REU
1997-T2;1997-04;ABC;Plus de 50 ans;7060;;;230.0;;;;974;Réunion;04;La Réunion;REU
1998-T2;1998-04;ABC;Plus de 50 ans;7450;;;-80.0;;;;974;Réunion;04;La Réunion;REU
2008-T1;2008-01;ABC;Plus de 50 ans;9180;;;160.0;;;;974;Réunion;04;La Réunion;REU
2011-T2;2011-04;ABC;Plus de 50 ans;19230;;;680.0;;;;974;Réunion;04;La Réunion;REU
1998-T2;1998-04;ABC;Entre 25 et 49 ans;79930;;;-520.0;;;;974;Réunion;04;La Réunion;REU
2002-T1;2002-01;ABC;Entre 25 et 49 ans;85470;;;-150.0;;;;974;Réunion;04;La Réunion;REU
2008-T1;2008-01;ABC;Entre 25 et 49 ans;60900;;;10.0;;;;974;Réunion;04;La Réunion;REU
2008-T3;2008-07;ABC;Entre 25 et 49 ans;64000;;;1590.0;;;;974;Réunion;04;La Réunion;REU
2010-T3;2010-07;ABC;Entre 25 et 49 ans;86310;;;2230.0;;;;974;Réunion;04;La Réunion;REU
2017-T4;2017-10;ABC;Entre 25 et 49 ans;99910;;;600.0;;;;974;Réunion;04;La Réunion;REU
2018-T4;2018-10;ABC;Entre 25 et 49 ans;101590;;;-720.0;;;;974;Réunion;04;La Réunion;REU
2008-T1;2008-01;ABC;Moins de 25 ans;16770;;;-40.0;;;;974;Réunion;04;La Réunion;REU
1998-T4;1998-10;A;Indifférent;108270;;;-810.0;;;;974;Réunion;04;La Réunion;REU
2011-T3;2011-07;A;Indifférent;119630;;;1300.0;;;;974;Réunion;04;La Réunion;REU
2015-T3;2015-07;A;Indifférent;136760;;;510.0;;;;974;Réunion;04;La Réunion;REU
2021-T2;2021-04;A;Indifférent;130260;;;-890.0;;;;974;Réunion;04;La Réunion;REU
2004-T3;2004-07;ABC;Indifférent;102710;50520;52190;-310.0;9820.0;10230.0;42120.0;974;Réunion;04;La Réunion;REU
2006-T1;2006-01;ABC;Indifférent;97950;47440;50510;-860.0;9370.0;10320.0;42600.0;974;Réunion;04;La Réunion;REU
2014-T4;2014-10;ABC;Indifférent;156130;76720;79410;480.0;10610.0;10490.0;87600.0;974;Réunion;04;La Réunion;REU
2015-T2;2015-04;ABC;Indifférent;158680;77300;81380;2010.0;10700.0;9640.0;88220.0;974;Réunion;04;La Réunion;REU
1997-T3;1997-07;B;Indifférent;1630;;;-40.0;;;;974;Réunion;04;La Réunion;REU
