IRIS;Libellé de l'IRIS;Code INSEE de la commune;Libellé de la commune;Part des ménages fiscaux imposés (%);Taux de bas revenus déclarés au seuil de 60 % (%);1er quartile(€);Mediane(€);3e quartile(€);Écart interquartile rapporté à la médiane;1er décile (€);2e décile (€);3e décile (€);4e décile (€);6e décile (€);7e décile (€);8e décile (€);9e décile (€);Rapport interdécile D9/D1;S80/S20;Indice de Gini;Part des revenus d'activités salariées (%);Part des indemnités de chômage (%);Part des revenus d'activités non salariées (%);Part des pensions, retraites et rentes (%);Part des autres revenus (%);Geo Shape;Geo Point 2d;Nom du département;Code de la région;Code du département;region;Population des ménages;Population par décile;code_reg;code_dep
974100101;Centre Ville Rive Gauche;97410;Saint-Benoît;23.7724084178;65.9810126582;0.0;6090.0;16296.0;2.67586206897;0.0;0.0;366.0;3264.0;9428.0;13930.0;20468.0;32230.0;;;0.6631490121;52.1;5.1;10.9;20.9;11.0;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[55.7154598583, -21.0318034157], [55.713849685, -21.0367030359], [55.7125581999, -21.0400341773], [55.7124209282, -21.0403312562], [55.7124292304, -21.0404848954], [55.7123995099, -21.0405840431], [55.711967213, -21.0404994624], [55.7100577006, -21.0398706756], [55.7102895074, -21.0386528588], [55.7093900202, -21.038067862], [55.7093325997, -21.0380312904], [55.7089001566, -21.0379647689], [55.708351394, -21.0379967353], [55.7080624239, -21.0380306748], [55.7080430242, -21.0380485951], [55.7060064227, -21.0365425116], [55.704199144, -21.035227865], [55.7024493928, -21.0339407411], [55.7039872074, -21.0330310153], [55.7045190515, -21.0327279167], [55.7048569785, -21.0325949831], [55.7056119632, -21.0309655985], [55.7061686784, -21.0294521416], [55.7069002795, -21.0277412664], [55.7071041965, -21.0275260034], [55.7072009869, -21.0274262824], [55.7072107784, -21.0274400883], [55.7077888122, -21.0280262652], [55.7086216391, -21.0284785959], [55.7092818905, -21.0288371057], [55.7102111893, -21.0290711795], [55.7111404913, -21.0293052482], [55.7120697964, -21.0295393121], [55.7129991047, -21.029773371], [55.7135640456, -21.0299156845], [55.7142241587, -21.0305729263], [55.7148841805, -21.0312302555], [55.7154598583, -21.0318034157]]], [[[55.7154598583, -21.0318034157], [55.7154598696, -21.0318033814], [55.7155443051, -21.0318874927], [55.7154598583, -21.0318034157]]]]}";-21.0337822974,55.7097076107;LA REUNION;4;974;LA REUNION;3742.22253264;374.22225326399996;4;974
974080101;Centre Ville;97408;La Possession;31.8602261048;53.7344794651;3792.0;10668.0;20106.0;1.52924634421;0.0;2210.0;5410.0;8064.0;13986.0;17710.0;23231.0;32522.0;;133.943890588;0.5255746229;72.9;5.5;4.9;12.7;4.0;"{""type"": ""Polygon"", ""coordinates"": [[[55.3386363347, -20.9344305408], [55.3379429965, -20.9353993387], [55.3362392935, -20.9338290829], [55.3350216246, -20.9326519675], [55.334375192, -20.9319862607], [55.3337289648, -20.9313024879], [55.3331017705, -20.9306369646], [55.3324067726, -20.9291487871], [55.3318123865, -20.9274231234], [55.3318849049, -20.927394656], [55.3327723008, -20.927047251], [55.3336596939, -20.9266997508], [55.3345470823, -20.926352336], [55.3354344678, -20.926004826], [55.3363218485, -20.9256574014], [55.3372092264, -20.9253098816], [55.3379681774, -20.9250126842], [55.3380488443, -20.9249774285], [55.338482909, -20.925676192], [55.3385583204, -20.9258124192], [55.3386712884, -20.9260303078], [55.3387839579, -20.9262752921], [55.3389149581, -20.9266017506], [55.3389709447, -20.9267558543], [55.3390540785, -20.9270637812], [55.3387687218, -20.9276571741], [55.3386013121, -20.9280168597], [55.338502689, -20.9282417216], [55.3384028702, -20.9285749663], [55.3383528111, -20.9287551364], [55.3382718198, -20.9291246958], [55.3382159309, -20.9307049044], [55.338304339, -20.934020829], [55.3386076928, -20.9344121962], [55.3386363347, -20.9344305408]]]}";-20.9295318779,55.3359729458;LA REUNION;4;974;LA REUNION;2537.91110265;253.791110265;4;974
974040102;Centre Ville Est;97404;L'Étang-Salé;38.1067961165;43.8670313486;6606.0;14016.0;25298.0;1.33361872146;2452.0;5348.0;8088.0;10854.0;17404.0;22404.0;30710.0;42548.0;17.352365416;21.8925585478;0.4857514307;65.9;4.6;9.7;14.7;5.1;"{""type"": ""Polygon"", ""coordinates"": [[[55.3898399539, -21.2670719523], [55.3895419032, -21.2679308245], [55.3892438477, -21.2687897863], [55.3889456931, -21.269648656], [55.3886476301, -21.2705076161], [55.3885159639, -21.2707316323], [55.3880511488, -21.2715227859], [55.387586232, -21.2723139369], [55.3874669891, -21.2724941721], [55.3869591497, -21.2732617863], [55.3869247257, -21.2733078847], [55.3863721775, -21.2740478802], [55.3858197201, -21.2747878743], [55.3852671596, -21.2755279556], [55.3847146909, -21.2762679453], [55.3841621201, -21.2770079319], [55.3838305827, -21.2774423843], [55.3832699658, -21.2781770512], [55.3827093432, -21.2789117157], [55.3821488113, -21.279646379], [55.3815881773, -21.280381039], [55.3810275376, -21.2811156967], [55.3804972916, -21.2818377278], [55.3804966204, -21.2825151717], [55.3806416044, -21.2827405764], [55.3808338071, -21.2829664351], [55.38096894, -21.2830793784], [55.3816883503, -21.2836803735], [55.3824077675, -21.2842812756], [55.3831271897, -21.2848822652], [55.3838466177, -21.2854832521], [55.3845660516, -21.2860842362], [55.3848710329, -21.2863358321], [55.3855944736, -21.286932515], [55.3863179191, -21.2875292855], [55.3870412752, -21.2881259619], [55.3877647325, -21.2887227267], [55.3884881958, -21.2893194888], [55.3892116659, -21.2899161578], [55.3899351409, -21.2905129143], [55.3905772227, -21.2909907421], [55.3913319322, -21.2915523836], [55.3913085116, -21.291729562], [55.3911901367, -21.2926259193], [55.3906882511, -21.2921595506], [55.38980836, -21.2917910923], [55.3889283772, -21.2914226287], [55.3880484943, -21.291054252], [55.3871686172, -21.2906857807], [55.3862886483, -21.2903173041], [55.3862288776, -21.2902922525], [55.3853433868, -21.2899356414], [55.3850409311, -21.2898138698], [55.38413189, -21.2895138422], [55.3832229492, -21.2892138108], [55.382313916, -21.2889137738], [55.3814048869, -21.2886137322], [55.3806494141, -21.288364391], [55.3797232639, -21.2881146685], [55.3787971181, -21.2878648507], [55.3778709749, -21.2876151184], [55.3769448361, -21.2873652908], [55.3760186998, -21.2871155487], [55.3757554079, -21.2870445411], [55.3748307742, -21.2867900198], [55.3739060466, -21.286535583], [55.3729814198, -21.286281052], [55.3720567966, -21.286026516], [55.3711320796, -21.2857720646], [55.3702074634, -21.2855175189], [55.3692828508, -21.2852629683], [55.3683581453, -21.2850084119], [55.3678716767, -21.2848745301], [55.3669173107, -21.2847492966], [55.3659628494, -21.2846241472], [55.3650084874, -21.2844989031], [55.3640541265, -21.2843737441], [55.3630997685, -21.2842484894], [55.3621453162, -21.2841232284], [55.3611909613, -21.2839980534], [55.3602366094, -21.2838727828], [55.3592821621, -21.2837475962], [55.3587188108, -21.2836736384], [55.3577654025, -21.28354195], [55.3568119964, -21.2834102563], [55.3565802844, -21.2833782776], [55.3565494628, -21.2831511684], [55.3564655395, -21.2802960502], [55.3571897515, -21.2801676282], [55.3573433272, -21.280223322], [55.3584249758, -21.2800170877], [55.3609943813, -21.2794820945], [55.3634959191, -21.2789825319], [55.3635248272, -21.2789828128], [55.3652281575, -21.2783309428], [55.3669067873, -21.2764232794], [55.3672913577, -21.2756321364], [55.3684617483, -21.2726175442], [55.3683548853, -21.2707376293], [55.3678804381, -21.2689672419], [55.3665699712, -21.2676493243], [55.3668742763, -21.2662702803], [55.367306521, -21.2646485937], [55.3683449666, -21.2627989211], [55.3687936667, -21.2617364188], [55.3689625347, -21.2612773881], [55.3690729954, -21.2608719878], [55.3691235572, -21.2606556934], [55.3693588844, -21.2594114642], [55.3693879994, -21.2585175128], [55.3697074467, -21.2575089455], [55.370913475, -21.2547385465], [55.3709430738, -21.2546756039], [55.3709631374, -21.2546035365], [55.3729282253, -21.2504523115], [55.3747547339, -21.2462578083], [55.3749033766, -21.2450036973], [55.3751205419, -21.2436508865], [55.375302267, -21.2428938914], [55.3753723763, -21.2426506841], [55.375422129, -21.2425066403], [55.3755399115, -21.2423090557], [55.375765347, -21.2419589521], [55.3764303314, -21.2410620859], [55.3790311024, -21.2375914461], [55.382252957, -21.2354635588], [55.3832807843, -21.2348591879], [55.3833493174, -21.2338752774], [55.3835773638, -21.2341665101], [55.3837974369, -21.2351893172], [55.3832169207, -21.2380651934], [55.3833187331, -21.2393307506], [55.3833456246, -21.2412820764], [55.3824521966, -21.2431981103], [55.3822990924, -21.2444786548], [55.3824778706, -21.2457539827], [55.3825118717, -21.2461698137], [55.3824508143, -21.2464673075], [55.3820819303, -21.2476018897], [55.3819437984, -21.2478986436], [55.3805159042, -21.2507166865], [55.379424417, -21.2527250054], [55.3781876237, -21.2565610369], [55.37793823, -21.2590968219], [55.3778108142, -21.2619318582], [55.3778687341, -21.2645609261], [55.3779465806, -21.2662507866], [55.3797295049, -21.2662318116], [55.3827558777, -21.2661795948], [55.3870822331, -21.2662120352], [55.3880146964, -21.266419679], [55.3889285016, -21.2666596572], [55.3898399539, -21.2670719523]]]}";-21.2685088449,55.3756777725;LA REUNION;4;974;LA REUNION;2797.85503332;279.785503332;4;974
974110201;Mairie de Bellepierre-Les Saphirs;97411;Saint-Denis;43.5249526216;48.738949558;4134.0;12534.0;27178.0;1.8385192277;0.0;2694.0;5482.0;8594.0;17788.0;23406.0;32130.0;47362.0;;132.030494555;0.5760260306;67.2;3.5;7.8;15.2;6.3;"{""type"": ""Polygon"", ""coordinates"": [[[55.440691266, -20.8970475936], [55.4405894561, -20.8966672682], [55.4409518094, -20.8950897559], [55.4412952147, -20.8944153944], [55.4415690972, -20.8939571962], [55.4423461473, -20.8941088118], [55.4452957172, -20.8914527882], [55.4454229919, -20.8912281141], [55.445442959, -20.8911560295], [55.4455551956, -20.8905247215], [55.4459191278, -20.8906544964], [55.4481110469, -20.8915596713], [55.4498065319, -20.8921351197], [55.4511023297, -20.8923184992], [55.4522642175, -20.8924374236], [55.4527646675, -20.8923787214], [55.4528190966, -20.8926953792], [55.4528606739, -20.8933280858], [55.4526339579, -20.893877064], [55.4523316433, -20.8942988912], [55.451604419, -20.8949110843], [55.4511979922, -20.8951738835], [55.450381315, -20.8965395389], [55.4497666581, -20.8978889556], [55.4496664559, -20.8982855106], [55.4495850131, -20.8987274021], [55.4495460611, -20.8997116754], [55.4495058495, -20.8998829427], [55.4489809015, -20.8995168478], [55.4454501434, -20.8969915836], [55.4449633837, -20.8966529244], [55.4442544379, -20.8964206406], [55.4435646248, -20.8961975614], [55.4430618308, -20.8964820457], [55.4420020668, -20.8971769811], [55.4413633468, -20.8971259906], [55.440691266, -20.8970475936]]]}";-20.8947670319,55.4469860218;LA REUNION;4;974;LA REUNION;4251.63096594;425.163096594;4;974
974151601;Tan Rouge;97415;Saint-Paul;26.8637532134;58.847061237;3940.0;9910.0;17998.0;1.41856710394;10.0;2930.0;5066.0;7482.0;12404.0;16118.0;20442.0;27356.0;2735.6;48.0627880147;0.4808283335;68.7;7.3;6.1;14.6;3.3;"{""type"": ""Polygon"", ""coordinates"": [[[55.2808745992, -21.0651744189], [55.2809523002, -21.0651119779], [55.2810505939, -21.0649323223], [55.2810329071, -21.0647966551], [55.2811856494, -21.0607154906], [55.2828787088, -21.0565686115], [55.2840200241, -21.0560562586], [55.2840392666, -21.056056453], [55.284232416, -21.0559951764], [55.2873522517, -21.053280763], [55.2894560705, -21.0504241812], [55.2919977352, -21.0475557115], [55.2921049025, -21.0474393651], [55.2921539333, -21.0473585646], [55.2923084827, -21.0473059225], [55.2937903273, -21.048142778], [55.2939121039, -21.0484330444], [55.294044428, -21.0486421231], [55.2941580253, -21.0488058507], [55.2947029141, -21.0491184299], [55.2954301903, -21.049468968], [55.2960717045, -21.0497463821], [55.2967158929, -21.0497889728], [55.2967544792, -21.0497803271], [55.2967707411, -21.0500424359], [55.2967108576, -21.0502315204], [55.2981821045, -21.0520053681], [55.2998565072, -21.0536863959], [55.3002992244, -21.0541018111], [55.3013066348, -21.0549448781], [55.3026636206, -21.055611323], [55.3033157186, -21.055807524], [55.3041985953, -21.0560688941], [55.3063954235, -21.0566105533], [55.3076797352, -21.0570614391], [55.3096091827, -21.0583271606], [55.3119172903, -21.0597230836], [55.3145530383, -21.0610815829], [55.3183336449, -21.0637520917], [55.3192649214, -21.064800071], [55.3193409839, -21.0648821181], [55.3194363919, -21.0649553239], [55.3193875717, -21.0650180694], [55.3197185583, -21.0655362082], [55.3206072864, -21.0686612762], [55.3205951326, -21.0748846691], [55.3206498096, -21.0760142941], [55.3206538365, -21.0773692345], [55.3206535321, -21.0773963295], [55.3205960998, -21.0773686631], [55.3202702444, -21.0772480133], [55.3200114445, -21.0771551247], [55.3191091388, -21.0769474711], [55.3188304853, -21.0769085801], [55.3184555031, -21.0768777668], [55.318012857, -21.0768733801], [55.3176273376, -21.0769237546], [55.3172991478, -21.0770108272], [55.3160157115, -21.0773187554], [55.315127924, -21.0775312431], [55.3144638513, -21.077533681], [55.3114635918, -21.0773232011], [55.3090268565, -21.0757904881], [55.3080042887, -21.0751570448], [55.3057689841, -21.0745385914], [55.3044709944, -21.0742207781], [55.3018910267, -21.0736598017], [55.2998782409, -21.0737886892], [55.2984919405, -21.0738335085], [55.2956938971, -21.0732002505], [55.2930363314, -21.0737516282], [55.2928821665, -21.0737681428], [55.2926056949, -21.0735395473], [55.2889315122, -21.070842455], [55.2850168106, -21.0681518928], [55.2810934098, -21.0653934155], [55.2808745992, -21.0651744189]]]}";-21.0643269043,55.3005996815;LA REUNION;4;974;LA REUNION;4468.569727;446.85697270000003;4;974
974150402;La Plaine-Bas de Mon Repos;97415;Saint-Paul;50.0490677134;33.4982444941;8776.0;18408.0;32244.0;1.27488048674;2660.0;7260.0;10454.0;14418.0;22622.0;28220.0;36704.0;50930.0;19.1466165414;19.8566664873;0.4580879868;71.1;3.7;8.1;12.6;4.5;"{""type"": ""Polygon"", ""coordinates"": [[[55.312493292, -20.9833483331], [55.3126194252, -20.9832502227], [55.3141707603, -20.9822314271], [55.3151982347, -20.9814240402], [55.3152865058, -20.9812713567], [55.3152979454, -20.9811088804], [55.3152910632, -20.9808649282], [55.3153585817, -20.9808475305], [55.3156281493, -20.9808230982], [55.3176928612, -20.9793801971], [55.3178113936, -20.9791013523], [55.3178312332, -20.9790473517], [55.3179975439, -20.9787960768], [55.3181246806, -20.9786076442], [55.3182315734, -20.9785093393], [55.3182800598, -20.9784736869], [55.318376123, -20.978483668], [55.3221040081, -20.9796766227], [55.3242972753, -20.9813602438], [55.3262004795, -20.9831855134], [55.3263723739, -20.983295596], [55.3263528385, -20.9833225023], [55.3262037564, -20.9837546107], [55.3260834233, -20.9841960342], [55.3260504967, -20.9845615382], [55.326113336, -20.9849641144], [55.3261227516, -20.9849822725], [55.3261703328, -20.9850279041], [55.330067594, -20.9883089354], [55.3305463415, -20.9885033183], [55.3300722902, -20.9887515881], [55.3299173112, -20.9888494288], [55.3296262853, -20.9890723939], [55.3290430252, -20.9896267039], [55.3286929867, -20.9899665142], [55.3278565536, -20.9907983506], [55.3264564142, -20.9912904297], [55.3241975205, -20.9903017056], [55.323948985, -20.9901637678], [55.3236527673, -20.9899892292], [55.3193477629, -20.9870563108], [55.3181497319, -20.9862496009], [55.316683707, -20.9853273251], [55.3158807011, -20.9848903307], [55.3127043525, -20.9833955878], [55.312493292, -20.9833483331]]]}";-20.9847595186,55.3218228582;LA REUNION;4;974;LA REUNION;2818.31760346;281.831760346;4;974
974110401;St-Francois Bas;97411;Saint-Denis;59.3516209476;24.4382022472;12318.0;22000.0;36366.0;1.09309090909;6072.0;9664.0;13552.0;17654.0;26184.0;32756.0;40656.0;59752.0;9.84057971014;13.2185635383;0.4455977706;65.7;2.5;9.3;17.4;5.1;"{""type"": ""Polygon"", ""coordinates"": [[[55.4618083068, -20.9170580385], [55.4615163162, -20.9174077065], [55.4611277992, -20.9168531749], [55.4601868244, -20.914852852], [55.4581612775, -20.9126801379], [55.4580377878, -20.9125344905], [55.4576478173, -20.9121244714], [55.4572746719, -20.9119494689], [55.4570347206, -20.9119111682], [55.4566825585, -20.9115647217], [55.4570638504, -20.9107366527], [55.4573824597, -20.9102278852], [55.457855863, -20.909642196], [55.4596929381, -20.906731984], [55.4602973358, -20.9035577107], [55.4603866914, -20.9028087518], [55.4601586705, -20.9025447311], [55.4607649797, -20.9024779279], [55.4630765648, -20.9029865358], [55.4643384923, -20.9036753814], [55.4648935267, -20.9039242689], [55.4651985492, -20.9041799422], [55.4652715521, -20.9055084956], [55.4645656632, -20.9068571498], [55.4634706052, -20.9096024627], [55.4627474242, -20.9135584139], [55.461783891, -20.9166242205], [55.4618083068, -20.9170580385]]]}";-20.9090731508,55.4612959354;LA REUNION;4;974;LA REUNION;1085.93625668;108.593625668;4;974
974050103;Manapany Les Bas-Anse Les Bas;97405;Petite-Île;38.1861575179;44.6318036286;6226.0;13796.0;23862.0;1.27834154827;1740.0;4342.0;7616.0;10306.0;16646.0;20956.0;26328.0;36522.0;20.9896551724;24.3126528483;0.4773333457;61.1;5.0;11.2;16.2;6.5;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[55.5894910822, -21.3570015378], [55.5894838113, -21.3577006496], [55.5891262207, -21.3585395433], [55.5887687222, -21.3593784367], [55.588411123, -21.3602173282], [55.5883286521, -21.3604108493], [55.5878399946, -21.3611895599], [55.5873513319, -21.3619682687], [55.5870526466, -21.3624443356], [55.5863820924, -21.3630934189], [55.5857115314, -21.3637425895], [55.5855594892, -21.3638897243], [55.5853087743, -21.3647619373], [55.5850581525, -21.3656341504], [55.5848074302, -21.3665064524], [55.5845568018, -21.3673786643], [55.5843060738, -21.3682508748], [55.584055439, -21.3691230854], [55.5838047035, -21.3699953849], [55.5835540621, -21.3708675943], [55.583303321, -21.3717398022], [55.5831060562, -21.3724261964], [55.583106681, -21.3725616998], [55.5826239508, -21.3725169738], [55.5819977182, -21.3726526015], [55.581117245, -21.3730210308], [55.5802367667, -21.3733895456], [55.5793562852, -21.3737579652], [55.5786483525, -21.3740542211], [55.5777571908, -21.3743993261], [55.5768659287, -21.3747444253], [55.5759747591, -21.3750895204], [55.5750834892, -21.3754346097], [55.5743977303, -21.3757001416], [55.5734507588, -21.3758710405], [55.5729109014, -21.3759684344], [55.5719731409, -21.3760047186], [55.5714334567, -21.3759648953], [55.5705065711, -21.3757155448], [55.5695796898, -21.3754660989], [55.5686528112, -21.3752167385], [55.5685487346, -21.3751887512], [55.5676222586, -21.3749380336], [55.5666957861, -21.3746873111], [55.565769318, -21.3744364934], [55.5648428524, -21.374185761], [55.5639164867, -21.3739350245], [55.5629900281, -21.3736842822], [55.5620635737, -21.3734334447], [55.561137122, -21.3731826925], [55.5602106737, -21.3729319354], [55.5592842289, -21.3726811734], [55.5583577875, -21.3724304064], [55.5581270438, -21.372367902], [55.5572097527, -21.3720892047], [55.5562924662, -21.3718104123], [55.5553751826, -21.3715317054], [55.5544579028, -21.3712529936], [55.5535406268, -21.3709742771], [55.5526233554, -21.3706954653], [55.5517060868, -21.3704167391], [55.5507889185, -21.3701380089], [55.5498716575, -21.369859273], [55.5489544012, -21.369580442], [55.5480371477, -21.3693016965], [55.5475265064, -21.3691465155], [55.5467174381, -21.3686549759], [55.5459083744, -21.368163523], [55.5450993171, -21.3676719762], [55.544778188, -21.3674768776], [55.5439441703, -21.3670234998], [55.543110158, -21.3665701181], [55.5422760545, -21.3661167317], [55.5414420527, -21.3656633423], [55.5406080563, -21.365209949], [55.5397740652, -21.3647565518], [55.5389400794, -21.3643031507], [55.5381060025, -21.363849745], [55.5372720273, -21.3633963362], [55.5367250303, -21.3630989875], [55.5361468856, -21.3630542015], [55.5361468189, -21.3629638702], [55.5363133244, -21.3620742086], [55.5364798285, -21.3611844563], [55.5366462329, -21.3602947931], [55.5368127323, -21.3594050401], [55.5369792284, -21.358515377], [55.537145723, -21.3576256232], [55.5373122145, -21.3567359594], [55.537478608, -21.355846204], [55.5376450947, -21.3549565395], [55.53781158, -21.3540667842], [55.5378789883, -21.353706499], [55.5382298369, -21.3528651396], [55.5385806812, -21.3520237791], [55.5389315212, -21.3511824175], [55.539282357, -21.3503410549], [55.5395419407, -21.3497185879], [55.5438329277, -21.3511061102], [55.5466601378, -21.3509047711], [55.5500779146, -21.3510098288], [55.5532536558, -21.3510971953], [55.5581010185, -21.3523673908], [55.5583325081, -21.352360345], [55.5583704566, -21.3524239028], [55.558945869, -21.3527450018], [55.5598016016, -21.3529962378], [55.5603955974, -21.3533897567], [55.5606298497, -21.3540873181], [55.5603099041, -21.3542652387], [55.559902828, -21.354478544], [55.5596886766, -21.3546844701], [55.5596203006, -21.3547742152], [55.5598824174, -21.3555804143], [55.5601098523, -21.3559888568], [55.5603111864, -21.3561080142], [55.5609173958, -21.3562396748], [55.5618753797, -21.3568847202], [55.5618104628, -21.3585959482], [55.5617034027, -21.3606726576], [55.5615505665, -21.3615114318], [55.5613956995, -21.3625579509], [55.5628704585, -21.3626247812], [55.5644073232, -21.3627508452], [55.5663683709, -21.3628895515], [55.5680354605, -21.3630121781], [55.5700713374, -21.3619003841], [55.5701976528, -21.361802095], [55.5702570851, -21.3616400039], [55.5701336629, -21.3614402227], [55.5692721663, -21.3607824943], [55.5682157253, -21.3603398956], [55.5679383972, -21.3591090182], [55.5683478079, -21.3581595093], [55.5689505625, -21.3571692813], [55.5704782361, -21.3567368677], [55.5705167167, -21.3567462285], [55.5706611724, -21.3567655246], [55.5709508722, -21.3567228244], [55.5718398677, -21.3565316577], [55.5719464555, -21.3564783651], [55.572120625, -21.3564166139], [55.5740614736, -21.3561440444], [55.5776460391, -21.3562002808], [55.5823089969, -21.3561336637], [55.5846466916, -21.3565275403], [55.5857037953, -21.356793533], [55.5882641887, -21.3572757742], [55.5890547739, -21.3569979625], [55.5894910822, -21.3570015378]]], [[[55.5395419407, -21.3497185879], [55.539541925, -21.3497185828], [55.5396331876, -21.3494997816], [55.5395419407, -21.3497185879]]]]}";-21.363013656,55.5618481078;LA REUNION;4;974;LA REUNION;2326.02181247;232.602181247;4;974
974140103;Centre Ville Est;97414;Saint-Louis;20.8103130755;69.9672131148;8.0;7066.0;14890.0;2.10614208888;0.0;0.0;1338.0;3923.0;9713.0;12220.0;17322.0;22132.0;;;0.585696779;59.6;6.3;2.5;20.9;10.7;"{""type"": ""Polygon"", ""coordinates"": [[[55.4102222551, -21.2919314872], [55.4105522474, -21.2917178175], [55.4110170609, -21.2915144526], [55.4126634152, -21.2907802668], [55.4130728245, -21.2903505541], [55.4123462301, -21.2898017364], [55.4117819169, -21.2893989713], [55.4120264925, -21.2881637895], [55.4140308199, -21.2872974724], [55.4147274796, -21.2870420835], [55.415129709, -21.2872807229], [55.4160197427, -21.2878671976], [55.416852349, -21.2884169968], [55.4175606478, -21.2888752958], [55.4176946952, -21.2889578509], [55.4193601325, -21.2900393665], [55.419259687, -21.2913210794], [55.4192197865, -21.2914471637], [55.4191997397, -21.2915192377], [55.4191992568, -21.2915643971], [55.4190545067, -21.2915811032], [55.4174065504, -21.2917914363], [55.4147545003, -21.2923874831], [55.4115545359, -21.2926215227], [55.410691755, -21.2921888383], [55.4102222551, -21.2919314872]]]}";-21.2901602359,55.414986315;LA REUNION;4;974;LA REUNION;1773.28440619;177.328440619;4;974
974110804;Moufia Est-Les Tulipiers;97411;Saint-Denis;32.1787709497;50.9316770186;4724.0;11630.0;21206.0;1.41719690456;0.0;3105.0;6302.0;9130.0;14466.0;18824.0;23842.0;33652.0;;59.5654323344;0.4982702728;65.7;7.1;4.5;18.4;4.3;"{""type"": ""Polygon"", ""coordinates"": [[[55.4858099665, -20.9098742224], [55.4859157983, -20.9098661272], [55.487591014, -20.9096235168], [55.488503418, -20.9097128935], [55.4889530493, -20.9099336729], [55.4893640949, -20.9101676601], [55.4897651218, -20.9104422079], [55.4895006883, -20.9109276726], [55.4892266401, -20.9114130517], [55.4888618189, -20.9123221962], [55.4890618104, -20.9134712053], [55.4891349137, -20.9138512541], [55.4893608319, -20.9143320219], [55.4894832689, -20.9145860396], [55.4896059777, -20.9148129595], [55.4901917073, -20.9168054834], [55.490405125, -20.9175752078], [55.4897284807, -20.9179395932], [55.4893238142, -20.9180263474], [55.4890210013, -20.9185024372], [55.4885522222, -20.9192299919], [55.4878559768, -20.9196303292], [55.4873157192, -20.9198152446], [55.4869124066, -20.9197665042], [55.4857025616, -20.9196112447], [55.4859021362, -20.91840706], [55.4860172735, -20.9169943585], [55.485130464, -20.9148320354], [55.4834071481, -20.913637886], [55.4831218457, -20.9133282179], [55.4827130294, -20.9128729182], [55.482090118, -20.9117201462], [55.481826412, -20.9111758006], [55.4815722297, -20.9106405727], [55.4818651621, -20.9101915084], [55.4852314727, -20.9100407273], [55.4858099665, -20.9098742224]]]}";-20.91396392,55.4866249832;LA REUNION;4;974;LA REUNION;2464.93251113;246.49325111299999;4;974
