Code INSEE;Commune;Nombre de personnes;Lieu de travail;Sexe;Mode de transport;Code EPCI;Nom de l'EPCI;Nom du département;Nom de la région
97418;Sainte-Marie;13;Autre région en France métropolitaine;Femmes;Voiture, camion, fourgonnette;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97405;Petite-Île;2;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97412;Saint-Joseph;346;Commune de résidence;Hommes;Marche à pied;249740085;CA du Sud;LA REUNION;LA REUNION
97407;Le Port;970;Autre commune du département de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97420;Sainte-Suzanne;99;Autre commune du département de résidence;Hommes;Deux roues;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97406;La Plaine-des-Palmistes;45;Commune de résidence;Hommes;Pas de transport;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97420;Sainte-Suzanne;3;Autre (Dom, Com, étranger);Femmes;Voiture, camion, fourgonnette;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97409;Saint-André;625;Commune de résidence;Femmes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97413;Saint-Leu;7;Autre commune du département de résidence;Hommes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97413;Saint-Leu;161;Commune de résidence;Hommes;Pas de transport;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97417;Saint-Philippe;5;Commune de résidence;Hommes;Transports en commun;249740085;CA du Sud;LA REUNION;LA REUNION
97418;Sainte-Marie;314;Commune de résidence;Hommes;Marche à pied;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97405;Petite-Île;3;Autre commune du département de résidence;Hommes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;135;Autre commune du département de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97404;L'Étang-Salé;2;Autre région en France métropolitaine;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97407;Le Port;84;Commune de résidence;Hommes;Pas de transport;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97407;Le Port;8;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97417;Saint-Philippe;15;Commune de résidence;Femmes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97418;Sainte-Marie;15;Autre commune du département de résidence;Hommes;Marche à pied;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97416;Saint-Pierre;3;Autre région en France métropolitaine;Hommes;Marche à pied;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97405;Petite-Île;48;Commune de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97401;Les Avirons;62;Commune de résidence;Hommes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97423;Les Trois-Bassins;30;Autre commune du département de résidence;Hommes;Deux roues;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97423;Les Trois-Bassins;470;Autre commune du département de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97401;Les Avirons;33;Commune de résidence;Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;3100;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97404;L'Étang-Salé;18;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97412;Saint-Joseph;2398;Commune de résidence;Hommes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97416;Saint-Pierre;3;Autre (Dom, Com, étranger);Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97422;Le Tampon;13;Autre commune du département de résidence;Hommes;Pas de transport;249740085;CA du Sud;LA REUNION;LA REUNION
97423;Les Trois-Bassins;50;Autre commune du département de résidence;Hommes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97413;Saint-Leu;5;Autre (Dom, Com, étranger);Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97416;Saint-Pierre;15;Autre commune du département de résidence;Femmes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97416;Saint-Pierre;132;Autre commune du département de résidence;Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97407;Le Port;10;Autre commune du département de résidence;Femmes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97408;La Possession;15;Autre région en France métropolitaine;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97406;La Plaine-des-Palmistes;65;Commune de résidence;Hommes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97404;L'Étang-Salé;28;Autre commune du département de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;270;Commune de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
